Codi,Barris,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
1,el Raval  ,16.6068130439237,15.943019068419218,15.890005586104447,15.21887184079788,12.910850546960988,14.038781235917654,14.323614132049755,14.015728576014878,13.915647800692472,12.263659931586538,11.1045,10.47
2,el Barri Gòtic  ,16.4881150637921,16.22130882882677,16.436274260181822,15.64870069036388,12.59237390260884,13.633715413462417,14.29878969560128,13.804199908821388,14.191884811686217,13.042660533961676,11.2094,10.54
3,la Barceloneta  ,22.6984052203369,19.97192233216883,18.984795002896565,18.771756560847116,15.997813482563371,17.283146098294704,17.40046456969391,16.88330017272174,19.84459248870864,18.17697755844291,16.3294,15.15
4,"Sant Pere, Santa Caterina i la Ribera  ",18.6061847232576,17.080626139191224,17.408158834037675,16.047234932928344,13.592294852635478,14.6156783308734,15.157329044420129,15.016393021355723,15.713611120621234,14.089730912022375,12.6979,11.24
5,el Fort Pienc  ,15.5458921574301,15.900414700473773,16.0825912458646,14.377274696354526,13.048152752838208,13.900360175981906,14.015333335958172,13.134292420124291,13.11479627587323,11.757594400053952,10.8908,9.98
6,la Sagrada Família  ,16.8934331438728,16.805830727871772,16.703789595439545,15.312070177885218,13.58089760798875,14.30856438754802,14.47648683792361,13.70588149672008,13.347805005141533,12.199300582122476,11.1051,10.46
7,la Dreta de l'Eixample  ,17.4002713687329,16.76291834080274,16.590097632742435,14.995865030823913,13.146806325245857,14.156206418242176,14.39960883239186,13.962855782008573,13.5422802573059,12.857185694822002,11.2916,10.06
8,l'Antiga Esquerra de l'Eixample  ,16.7978030463071,16.986084150288978,16.752925921704215,15.203971349796094,13.650116837702225,14.32006576315368,14.475539079123978,14.054576834163274,13.732518537185904,12.72613109643339,11.3658,10.48
9,la Nova Esquerra de l'Eixample  ,17.3148814795066,16.73340900022927,16.679598062028326,14.946847269428693,13.438599368813312,14.42170366836244,14.521146251476097,13.92147503109356,13.54946011984036,12.374657999869669,11.2679,10.42
10,Sant Antoni  ,16.2618698209831,16.1433605131686,15.874314475169015,14.404203694871676,12.9584861152187,13.94538330226278,13.848563622132446,13.16945079913711,13.01762326641725,12.081891072059976,10.9577,10.01
11,el Poble Sec - AEI Parc Montjuïc  ,16.7281706823884,16.412833429522358,16.00167407559502,15.232628351234204,13.620301505811062,14.264062240931189,14.359229885638657,13.850183250221871,13.692917004798652,12.279045541600151,11.0933,10.19
12,la Marina del Prat Vermell - AEI Zona Franca  ,17.3641449440404,8.676622059977523,13.39285714,7.194147868333334,5.901596189285714,,7.100991793822579,,,5.872399166666667,6.6071,
13,la Marina de Port  ,13.127050892418,12.019254747890509,12.583829837422822,10.60176877074698,10.70903183505043,11.149334735857613,10.826746822359492,10.583254460033988,10.36207564431409,8.866678254785983,8.3625,7.99
14,la Font de la Guatlla  ,15.9387609669677,15.637088657860764,15.815532593843484,14.064691036445314,12.75049205163399,13.324871492147988,12.840954082915902,12.36690619176676,13.034586853868364,12.04571466851928,11.3287,10.62
15,Hostafrancs  ,16.4604061288387,15.63537247636025,15.808003304916664,14.243633729291451,13.13778419660368,13.9583014743753,13.832742542799204,13.53845149083102,12.91395537399208,12.155496848298746,11.1196,10.27
16,la Bordeta  ,18.2275420759209,18.717549873242493,21.060815474774422,13.4159069509514,12.33656329574336,12.980803680805824,12.756845095570602,12.15309019472456,11.9362383243163,10.818964766248092,9.8429,9.31
17,Sants - Badal  ,15.9331084965078,16.047267468467535,15.67708538546071,14.438381809901754,13.166578088151732,13.831488158233396,13.8188263649611,13.039599815119193,13.14803988429266,11.745642183883282,10.7392,9.94
18,Sants  ,16.4345976865544,15.960933903379535,15.75531481870023,14.18232015034102,13.116008987680274,13.861959482516596,13.842839412213522,13.14836360000168,13.184824350334544,11.889901395961813,10.992,10.07
19,les Corts  ,17.9738885385577,17.434994490150956,17.08392695324008,15.444083943668868,14.061172301470746,14.858315440082452,15.052336801010366,14.843316401220209,14.331099229190947,13.043827201183602,11.8488,11.07
20,la Maternitat i Sant Ramon  ,16.5076756890322,16.426051223639206,15.758341039360856,14.782832774062172,12.98170304424569,13.966182905817798,14.44955937675135,13.58974598342385,13.369236308238133,12.907779683452826,11.4229,10.38
21,Pedralbes  ,18.6737182302203,19.292450637151905,17.483309346429373,15.252065937434576,15.060165415490738,15.466036033457891,15.686281801097593,15.351873236161412,16.211643256314822,14.649640166198669,14.1453,12.33
22,"Vallvidrera, el Tibidabo i les Planes  ",14.5261308741832,16.28230779295833,14.11538001837255,13.558424957338238,15.331200321072728,12.47392625453489,13.859396105896742,11.93202486359886,16.579957237339364,15.080122378409715,12.1003,10.6
23,Sarrià  ,20.4872423470863,19.26439085817213,19.517264715391487,18.194538918375425,15.90375279016188,16.978896536050428,16.866645352136484,17.2459772191245,17.50943898814595,15.93577524576695,14.5361,13.59
24,les Tres Torres  ,19.7355128629825,19.737576185662448,19.42401343560558,17.901516562914193,15.735479969511935,16.51571761748483,17.04511496568929,16.42509189795215,16.88121475595254,15.644186976240649,13.9673,13.52
25,Sant Gervasi - la Bonanova  ,19.2392474375866,18.07900701712037,17.818062111560952,15.828859088918902,15.129906111319563,15.313461685960396,16.038572036859406,16.101923623124364,15.37836978428816,14.21909035886717,12.8241,11.55
26,Sant Gervasi - Galvany  ,18.841333587293,18.752671973132443,18.424004555209144,15.7272616583035,14.52886385373683,15.323225256133169,15.275452400051838,14.791786748495744,14.605387979284014,13.777208165609853,12.7318,11.69
27,el Putxet i el Farró  ,18.3429601288982,17.053357640379087,17.293027048411396,15.818496613557317,14.269989612958556,15.08840764858391,15.027643645449707,14.616039991769998,14.876829489022498,13.727667807074935,12.3254,11.01
28,Vallcarca i els Penitents  ,17.3937453837088,17.757284520261535,16.776072776142097,14.729010174581624,13.726958979428565,14.367477774784508,14.03828875752721,13.605092559007456,14.112132218205456,12.65328067966951,11.5532,10.26
29,el Coll  ,15.2380735753592,14.664232463992306,14.424809384916667,12.945743476450296,12.71271074027103,12.232760379657146,12.715733915523172,12.173779873853826,12.45399696730529,11.227775077375467,9.8996,9.52
30,la Salut  ,16.481157060562,16.422293391150866,15.337154651781136,13.509355581138651,12.575219813195378,13.63891362609796,13.14764745120012,12.837779066735363,12.343134468034393,12.11431159818923,11.2769,9.97
31,la Vila de Gràcia  ,18.49941659506,17.885784457148763,17.481129552324607,15.958939554337244,14.125647541263426,14.912970005469951,15.09676059493889,14.595062554126894,15.011576445180015,13.49783394084456,12.305,11.25
32,el Camp d'en Grassot i Gràcia Nova  ,17.1253757284385,17.47658713800269,16.690309487229573,15.137174477518167,13.72783214081223,14.078602277671465,14.732872616891491,13.824051718642377,13.570804470730732,12.481443701651234,11.3303,10.36
33,el Baix Guinardó  ,15.9257696314135,15.720253375060537,15.476747244525606,14.041970149916152,12.638888561865397,13.7556294000789,13.495668667136838,12.662438650846951,12.592155781669998,11.434791486332804,10.5654,9.56
34,Can Baró  ,16.0305147120607,15.718676198390073,14.966994426716983,13.676425019674308,12.534150169312973,12.947489139805402,13.40042936943279,12.154438352902115,12.423628181218698,11.495009974486086,10.0925,9.42
35,el Guinardó  ,15.4350143199382,14.992782970639045,14.945920271213156,13.435661722742026,12.604356483990289,13.20204599008055,12.91937086118691,12.065026391169631,12.28238423257657,11.141579647760569,10.3596,9.18
36,la Font d'en Fargues  ,14.6011232573316,15.604508130402168,15.498880723377356,13.513391518310682,12.143906963119404,12.9032800798,12.84777882696864,12.09957080866064,13.105167965557689,11.89289610739483,11.373,9.26
37,el Carmel  ,13.9673152475964,13.556511834425718,13.50197740334816,12.680476822264373,11.766751192358427,11.978664650022605,12.091516130739542,11.332042223804828,11.008784278183583,9.821304588678313,9.1085,8.63
38,la Teixonera  ,14.9560483650094,14.574566473029416,14.620394126194563,13.19219298641102,12.154654300055764,12.098667580114432,12.603704324375949,12.12235318342253,11.175202559779532,10.181073895015938,9.509,8.35
39,Sant Genís dels Agudells  ,12.2484442454466,11.086403966448524,12.015996011203695,10.763360534121793,10.311599696463231,10.616188260010214,10.64625840599057,9.675179140302086,9.516336904626026,8.729450674866046,8.3222,7.75
40,Montbau  ,15.4702223633051,13.638460436434778,13.7668638356,11.890828132690322,11.194897334587102,11.892571572311828,11.883546670347888,11.019199777731066,12.517368894607756,10.293969724135788,10.0705,9.27
41,la Vall d'Hebron  ,15.3392893720428,15.042912087976472,14.951204468983333,13.690886716447055,12.66257799529203,12.231056731447367,13.319329827454371,12.316018349633191,12.16021421454086,11.233054566684174,10.0733,9.95
42,la Clota  ,20.147548102661,11.506007358076925,15.458494562375,,12.100818120333336,11.44584580475,11.446586233285714,7.971128265172065,15.066465182564256,12.32197980216241,7.9685,10.45
43,Horta  ,14.3140594511351,14.22986925836339,13.922914990235917,12.448117602323682,11.948935130628149,12.630100619246846,12.462569376397616,11.800993065383985,11.653300619942517,10.604753246726336,9.5169,8.94
44,Vilapicina i la Torre Llobeta  ,14.5855799790176,13.87544429189048,13.69209100013521,12.75162139408676,11.563122460892302,12.310294515315292,12.174391664439586,11.570869831205211,11.369035105860624,10.489836568446588,9.321,8.8
45,Porta  ,13.3196829204995,13.443467499957135,13.5127161586168,12.283785243106,11.475824501599243,12.058039752066666,12.32845508082162,11.443372789929272,10.797815020069994,10.046322730252864,9.1018,8.64
46,el Turó de la Peira  ,13.0347620011413,13.109162208554654,12.563678179235952,11.909097129309515,11.269734699397894,11.59207748619661,11.699314863704798,11.301119598163655,10.585956104108476,9.453471129806989,8.3371,7.81
47,Can Peguera  ,8.4356955281299,12.453981108,,,,,11.917233468333334,8.083311403508773,11.17761703005277,8.07146571061543,5.7937,5.29
48,la Guineueta  ,12.4747107669798,11.93751269015686,12.186915336353838,10.832557457871795,9.714225617055758,10.55883307393676,10.476719579734668,10.070535946491548,9.377243792194715,8.784614277028165,8.1706,8.21
49,Canyelles  ,9.98446398720742,10.32498015209091,10.760658784441864,9.7222864546,9.3627666765,9.658084506773582,9.486878532588298,9.465137012089402,8.6017603623803,8.039330147660692,7.2142,6.98
50,les Roquetes  ,13.6235264949958,13.50004182255779,13.609008895186872,12.249174816084007,11.337256937234809,11.64755506255665,11.225140740454798,11.206756851585912,10.172547119022877,9.360139362177568,8.7248,8.33
51,Verdun  ,14.2050751146602,13.091887269721893,14.5260301922683,11.985542470225198,12.290719020188597,11.996103574844655,12.075383913440277,11.648210581534393,11.086088326452812,10.098426851539276,9.1444,9.22
52,la Prosperitat  ,14.4174103477965,13.93083428345651,13.945464423113451,12.575343443577008,11.837312990731522,12.433533647504774,12.018604251100223,11.760119271170527,11.26429756446313,10.297915101874342,9.6347,8.9
53,la Trinitat Nova  ,12.4524467305167,14.230387610865163,13.515186161159573,12.841313210162602,11.62498405513846,11.832023495987809,12.107702720481573,12.02475454413294,10.652752656544791,8.597078544540132,8.787,8.54
54,Torre Baró  ,10.3539201744331,5.71898967442,7.708899349199998,10.386546869888887,8.840572521928573,8.756814471615385,7.463522392409788,8.239509410577575,6.782010885388813,7.393487300435411,6.0594,5.92
55,Ciutat Meridiana  ,10.1966369434557,10.725864191476743,10.389798954991074,9.703440498115382,8.926438458921739,9.24737150968479,9.65006157195342,8.719993745299636,7.589143974004675,6.97053249567396,6.6154,6.38
56,Vallbona  ,10.3953974469428,,,8.041269607555556,5.957624908857143,7.898986077166666,8.082044582666667,9.480468504925026,6.048871236597235,7.901908627865493,6.657,4.25
57,la Trinitat Vella  ,12.9097948107374,11.119637402888891,12.526387540357147,10.968273048409715,10.306701923563294,10.856505266343747,10.11453607377038,10.007068088477617,9.161313642350953,8.509226671510785,8.0063,6.98
58,Baró de Viver  ,8.44548222726081,7.7562973925,9.234508433299998,6.120076037833333,8.006762378666666,7.518427432999999,6.509719317706553,7.477570815013892,6.210010197104395,3.516845571265721,4.7787,3.92
59,el Bon Pastor  ,11.361329545432,10.49283056645402,10.901467438128492,11.535129601240506,10.825398477248443,11.88428890408334,10.501272183050784,10.849144233980192,9.51793448325227,8.711187605241138,8.8203,8.05
60,Sant Andreu  ,14.6178349624311,13.917096299574064,13.960037435321947,12.650506722975292,11.889053776784785,12.50038503614695,12.47487696817601,11.914705835204966,12.33028567546414,10.89883083296474,10.0344,9.19
61,la Sagrera  ,14.0839554698716,14.431266746275073,14.54383481657863,12.892733888676515,11.981837647193505,12.399219424251562,12.64546215153618,11.915952132128904,10.83552707468087,10.494395634859442,9.734,9.05
62,el Congrés i els Indians  ,14.2029640140376,14.608531232436851,14.018520946184692,12.45548468352526,11.68448480303846,12.516271443092004,12.067316586764914,11.92719016532262,11.370928373520428,10.394278905783803,9.4546,9.24
63,Navas  ,14.6922850430433,14.342377921650485,14.454758450560355,12.649498782912758,11.884037627933084,12.668060270894255,12.426713511487884,12.03009434054264,11.465544277470096,10.806024787604008,9.7254,8.91
64,el Camp de l'Arpa del Clot  ,15.9923274786573,15.64902092860501,15.763083502801992,14.143477365962092,12.995535171707012,13.573541111275508,13.541243796410017,13.033132968216592,12.95227410092702,11.709483554715872,10.6257,9.74
65,el Clot  ,15.6496951072948,15.57319084535038,15.40462450527839,13.625715053753668,12.882361298247163,13.346723093321774,13.24594657998683,12.55115119485355,12.445475638093264,11.19309197844161,10.3108,9.63
66,el Parc i la Llacuna del Poblenou  ,18.209710556139,16.861980884162598,17.253219078700692,15.89686286828496,14.272644336265882,14.332802815040129,15.01556602976692,13.962705293049318,13.755471672040114,12.787801165126446,11.4877,10.24
67,la Vila Olímpica del Poblenou  ,20.8162064021469,21.87199817851748,20.38012328039374,19.105777159678052,16.762442255041197,17.656044704791043,17.547806830599498,16.8667861869431,17.13150159543274,16.208790534340928,14.2878,13.18
68,el Poblenou  ,18.2865859328007,18.113000967156783,17.775289594271463,16.508805449129053,14.330951855513788,14.91812146950517,15.083231195188253,14.4599970877373,13.96589409411996,12.789482756076673,11.7336,10.57
69,Diagonal Mar i el Front Marítim del Poblenou  ,22.386218292804,19.62908748996843,18.81057428732489,17.24356112445832,15.664649052924586,16.664812541432543,17.261527510142248,15.270815223662296,16.031174667325445,13.872349345176756,12.4914,11.18
70,el Besòs i el Maresme  ,13.159184681715,13.439993828442304,12.494455585090034,12.125857090019238,11.344425751119289,11.910099374483543,11.340307426362951,10.947028566037146,10.031687124245062,8.771495642586551,8.3818,7.74
71,Provençals del Poblenou  ,16.8466820712988,16.12339221719435,16.34846365379195,14.539181830128262,13.472106813322725,13.975188470866849,14.110283931457726,13.633985195169029,12.935796963802623,11.783817068922774,9.9554,9.67
72,Sant Martí de Provençals  ,13.5720162412469,14.098404240278786,13.536344156750626,12.126000378791012,11.493683450842315,11.777951844188989,11.90384332682758,11.5035988559038,10.90435678318532,9.965651331533731,9.4005,8.88
73,la Verneda i la Pau  ,14.1710057725086,14.517446015824556,16.297611096115315,11.420925863108184,11.0731280544947,11.545577306243896,11.475549275692378,11.190063232165448,10.162101408993312,9.11266791429474,9.0998,8.32
